fid,iid,rep,budget,precision
1,1,0,8,0.0
1,1,0,16,0.0
1,1,0,24,0.0
1,1,0,32,0.0
1,1,0,40,0.0
1,1,0,48,0.0
1,1,0,56,0.0
1,1,0,64,0.0
1,1,0,72,0.0
1,1,0,80,0.0
1,1,0,88,0.0
1,1,0,96,0.0
1,1,0,100,0.0
1,1,0,150,0.0
1,1,0,200,0.0
1,1,0,250,0.0
1,1,0,300,0.0
1,1,0,350,0.0
1,1,0,400,0.0
1,1,0,450,0.0
1,1,0,500,0.0
1,1,0,550,0.0
1,1,0,600,0.0
1,1,0,650,0.0
1,1,0,700,0.0
1,1,0,750,0.0
1,1,0,800,0.0
1,1,0,850,0.0
1,1,0,900,0.0
1,1,0,950,0.0
1,1,0,1000,0.0
1,1,1,8,0.0
1,1,1,16,0.0
1,1,1,24,0.0
1,1,1,32,0.0
1,1,1,40,0.0
1,1,1,48,0.0
1,1,1,56,0.0
1,1,1,64,0.0
1,1,1,72,0.0
1,1,1,80,0.0
1,1,1,88,0.0
1,1,1,96,0.0
1,1,1,100,0.0
1,1,1,150,0.0
1,1,1,200,0.0
1,1,1,250,0.0
1,1,1,300,0.0
1,1,1,350,0.0
1,1,1,400,0.0
1,1,1,450,0.0
1,1,1,500,0.0
1,1,1,550,0.0
1,1,1,600,0.0
1,1,1,650,0.0
1,1,1,700,0.0
1,1,1,750,0.0
1,1,1,800,0.0
1,1,1,850,0.0
1,1,1,900,0.0
1,1,1,950,0.0
1,1,1,1000,0.0
1,1,2,8,0.0
1,1,2,16,0.0
1,1,2,24,0.0
1,1,2,32,0.0
1,1,2,40,0.0
1,1,2,48,0.0
1,1,2,56,0.0
1,1,2,64,0.0
1,1,2,72,0.0
1,1,2,80,0.0
1,1,2,88,0.0
1,1,2,96,0.0
1,1,2,100,0.0
1,1,2,150,0.0
1,1,2,200,0.0
1,1,2,250,0.0
1,1,2,300,0.0
1,1,2,350,0.0
1,1,2,400,0.0
1,1,2,450,0.0
1,1,2,500,0.0
1,1,2,550,0.0
1,1,2,600,0.0
1,1,2,650,0.0
1,1,2,700,0.0
1,1,2,750,0.0
1,1,2,800,0.0
1,1,2,850,0.0
1,1,2,900,0.0
1,1,2,950,0.0
1,1,2,1000,0.0
1,1,3,8,0.0
1,1,3,16,0.0
1,1,3,24,0.0
1,1,3,32,0.0
1,1,3,40,0.0
1,1,3,48,0.0
1,1,3,56,0.0
1,1,3,64,0.0
1,1,3,72,0.0
1,1,3,80,0.0
1,1,3,88,0.0
1,1,3,96,0.0
1,1,3,100,0.0
1,1,3,150,0.0
1,1,3,200,0.0
1,1,3,250,0.0
1,1,3,300,0.0
1,1,3,350,0.0
1,1,3,400,0.0
1,1,3,450,0.0
1,1,3,500,0.0
1,1,3,550,0.0
1,1,3,600,0.0
1,1,3,650,0.0
1,1,3,700,0.0
1,1,3,750,0.0
1,1,3,800,0.0
1,1,3,850,0.0
1,1,3,900,0.0
1,1,3,950,0.0
1,1,3,1000,0.0
1,1,4,8,0.0
1,1,4,16,0.0
1,1,4,24,0.0
1,1,4,32,0.0
1,1,4,40,0.0
1,1,4,48,0.0
1,1,4,56,0.0
1,1,4,64,0.0
1,1,4,72,0.0
1,1,4,80,0.0
1,1,4,88,0.0
1,1,4,96,0.0
1,1,4,100,0.0
1,1,4,150,0.0
1,1,4,200,0.0
1,1,4,250,0.0
1,1,4,300,0.0
1,1,4,350,0.0
1,1,4,400,0.0
1,1,4,450,0.0
1,1,4,500,0.0
1,1,4,550,0.0
1,1,4,600,0.0
1,1,4,650,0.0
1,1,4,700,0.0
1,1,4,750,0.0
1,1,4,800,0.0
1,1,4,850,0.0
1,1,4,900,0.0
1,1,4,950,0.0
1,1,4,1000,0.0
1,1,5,8,0.0
1,1,5,16,0.0
1,1,5,24,0.0
1,1,5,32,0.0
1,1,5,40,0.0
1,1,5,48,0.0
1,1,5,56,0.0
1,1,5,64,0.0
1,1,5,72,0.0
1,1,5,80,0.0
1,1,5,88,0.0
1,1,5,96,0.0
1,1,5,100,0.0
1,1,5,150,0.0
1,1,5,200,0.0
1,1,5,250,0.0
1,1,5,300,0.0
1,1,5,350,0.0
1,1,5,400,0.0
1,1,5,450,0.0
1,1,5,500,0.0
1,1,5,550,0.0
1,1,5,600,0.0
1,1,5,650,0.0
1,1,5,700,0.0
1,1,5,750,0.0
1,1,5,800,0.0
1,1,5,850,0.0
1,1,5,900,0.0
1,1,5,950,0.0
1,1,5,1000,0.0
1,1,6,8,0.0
1,1,6,16,0.0
1,1,6,24,0.0
1,1,6,32,0.0
1,1,6,40,0.0
1,1,6,48,0.0
1,1,6,56,0.0
1,1,6,64,0.0
1,1,6,72,0.0
1,1,6,80,0.0
1,1,6,88,0.0
1,1,6,96,0.0
1,1,6,100,0.0
1,1,6,150,0.0
1,1,6,200,0.0
1,1,6,250,0.0
1,1,6,300,0.0
1,1,6,350,0.0
1,1,6,400,0.0
1,1,6,450,0.0
1,1,6,500,0.0
1,1,6,550,0.0
1,1,6,600,0.0
1,1,6,650,0.0
1,1,6,700,0.0
1,1,6,750,0.0
1,1,6,800,0.0
1,1,6,850,0.0
1,1,6,900,0.0
1,1,6,950,0.0
1,1,6,1000,0.0
1,1,7,8,0.0
1,1,7,16,0.0
1,1,7,24,0.0
1,1,7,32,0.0
1,1,7,40,0.0
1,1,7,48,0.0
1,1,7,56,0.0
1,1,7,64,0.0
1,1,7,72,0.0
1,1,7,80,0.0
1,1,7,88,0.0
1,1,7,96,0.0
1,1,7,100,0.0
1,1,7,150,0.0
1,1,7,200,0.0
1,1,7,250,0.0
1,1,7,300,0.0
1,1,7,350,0.0
1,1,7,400,0.0
1,1,7,450,0.0
1,1,7,500,0.0
1,1,7,550,0.0
1,1,7,600,0.0
1,1,7,650,0.0
1,1,7,700,0.0
1,1,7,750,0.0
1,1,7,800,0.0
1,1,7,850,0.0
1,1,7,900,0.0
1,1,7,950,0.0
1,1,7,1000,0.0
1,1,8,8,0.0
1,1,8,16,0.0
1,1,8,24,0.0
1,1,8,32,0.0
1,1,8,40,0.0
1,1,8,48,0.0
1,1,8,56,0.0
1,1,8,64,0.0
1,1,8,72,0.0
1,1,8,80,0.0
1,1,8,88,0.0
1,1,8,96,0.0
1,1,8,100,0.0
1,1,8,150,0.0
1,1,8,200,0.0
1,1,8,250,0.0
1,1,8,300,0.0
1,1,8,350,0.0
1,1,8,400,0.0
1,1,8,450,0.0
1,1,8,500,0.0
1,1,8,550,0.0
1,1,8,600,0.0
1,1,8,650,0.0
1,1,8,700,0.0
1,1,8,750,0.0
1,1,8,800,0.0
1,1,8,850,0.0
1,1,8,900,0.0
1,1,8,950,0.0
1,1,8,1000,0.0
1,1,9,8,0.0
1,1,9,16,0.0
1,1,9,24,0.0
1,1,9,32,0.0
1,1,9,40,0.0
1,1,9,48,0.0
1,1,9,56,0.0
1,1,9,64,0.0
1,1,9,72,0.0
1,1,9,80,0.0
1,1,9,88,0.0
1,1,9,96,0.0
1,1,9,100,0.0
1,1,9,150,0.0
1,1,9,200,0.0
1,1,9,250,0.0
1,1,9,300,0.0
1,1,9,350,0.0
1,1,9,400,0.0
1,1,9,450,0.0
1,1,9,500,0.0
1,1,9,550,0.0
1,1,9,600,0.0
1,1,9,650,0.0
1,1,9,700,0.0
1,1,9,750,0.0
1,1,9,800,0.0
1,1,9,850,0.0
1,1,9,900,0.0
1,1,9,950,0.0
1,1,9,1000,0.0
1,1,10,8,0.0
1,1,10,16,0.0
1,1,10,24,0.0
1,1,10,32,0.0
1,1,10,40,0.0
1,1,10,48,0.0
1,1,10,56,0.0
1,1,10,64,0.0
1,1,10,72,0.0
1,1,10,80,0.0
1,1,10,88,0.0
1,1,10,96,0.0
1,1,10,100,0.0
1,1,10,150,0.0
1,1,10,200,0.0
1,1,10,250,0.0
1,1,10,300,0.0
1,1,10,350,0.0
1,1,10,400,0.0
1,1,10,450,0.0
1,1,10,500,0.0
1,1,10,550,0.0
1,1,10,600,0.0
1,1,10,650,0.0
1,1,10,700,0.0
1,1,10,750,0.0
1,1,10,800,0.0
1,1,10,850,0.0
1,1,10,900,0.0
1,1,10,950,0.0
1,1,10,1000,0.0
1,1,11,8,0.0
1,1,11,16,0.0
1,1,11,24,0.0
1,1,11,32,0.0
1,1,11,40,0.0
1,1,11,48,0.0
1,1,11,56,0.0
1,1,11,64,0.0
1,1,11,72,0.0
1,1,11,80,0.0
1,1,11,88,0.0
1,1,11,96,0.0
1,1,11,100,0.0
1,1,11,150,0.0
1,1,11,200,0.0
1,1,11,250,0.0
1,1,11,300,0.0
1,1,11,350,0.0
1,1,11,400,0.0
1,1,11,450,0.0
1,1,11,500,0.0
1,1,11,550,0.0
1,1,11,600,0.0
1,1,11,650,0.0
1,1,11,700,0.0
1,1,11,750,0.0
1,1,11,800,0.0
1,1,11,850,0.0
1,1,11,900,0.0
1,1,11,950,0.0
1,1,11,1000,0.0
1,1,12,8,0.0
1,1,12,16,0.0
1,1,12,24,0.0
1,1,12,32,0.0
1,1,12,40,0.0
1,1,12,48,0.0
1,1,12,56,0.0
1,1,12,64,0.0
1,1,12,72,0.0
1,1,12,80,0.0
1,1,12,88,0.0
1,1,12,96,0.0
1,1,12,100,0.0
1,1,12,150,0.0
1,1,12,200,0.0
1,1,12,250,0.0
1,1,12,300,0.0
1,1,12,350,0.0
1,1,12,400,0.0
1,1,12,450,0.0
1,1,12,500,0.0
1,1,12,550,0.0
1,1,12,600,0.0
1,1,12,650,0.0
1,1,12,700,0.0
1,1,12,750,0.0
1,1,12,800,0.0
1,1,12,850,0.0
1,1,12,900,0.0
1,1,12,950,0.0
1,1,12,1000,0.0
1,1,13,8,0.0
1,1,13,16,0.0
1,1,13,24,0.0
1,1,13,32,0.0
1,1,13,40,0.0
1,1,13,48,0.0
1,1,13,56,0.0
1,1,13,64,0.0
1,1,13,72,0.0
1,1,13,80,0.0
1,1,13,88,0.0
1,1,13,96,0.0
1,1,13,100,0.0
1,1,13,150,0.0
1,1,13,200,0.0
1,1,13,250,0.0
1,1,13,300,0.0
1,1,13,350,0.0
1,1,13,400,0.0
1,1,13,450,0.0
1,1,13,500,0.0
1,1,13,550,0.0
1,1,13,600,0.0
1,1,13,650,0.0
1,1,13,700,0.0
1,1,13,750,0.0
1,1,13,800,0.0
1,1,13,850,0.0
1,1,13,900,0.0
1,1,13,950,0.0
1,1,13,1000,0.0
1,1,14,8,0.0
1,1,14,16,0.0
1,1,14,24,0.0
1,1,14,32,0.0
1,1,14,40,0.0
1,1,14,48,0.0
1,1,14,56,0.0
1,1,14,64,0.0
1,1,14,72,0.0
1,1,14,80,0.0
1,1,14,88,0.0
1,1,14,96,0.0
1,1,14,100,0.0
1,1,14,150,0.0
1,1,14,200,0.0
1,1,14,250,0.0
1,1,14,300,0.0
1,1,14,350,0.0
1,1,14,400,0.0
1,1,14,450,0.0
1,1,14,500,0.0
1,1,14,550,0.0
1,1,14,600,0.0
1,1,14,650,0.0
1,1,14,700,0.0
1,1,14,750,0.0
1,1,14,800,0.0
1,1,14,850,0.0
1,1,14,900,0.0
1,1,14,950,0.0
1,1,14,1000,0.0
1,1,15,8,0.0
1,1,15,16,0.0
1,1,15,24,0.0
1,1,15,32,0.0
1,1,15,40,0.0
1,1,15,48,0.0
1,1,15,56,0.0
1,1,15,64,0.0
1,1,15,72,0.0
1,1,15,80,0.0
1,1,15,88,0.0
1,1,15,96,0.0
1,1,15,100,0.0
1,1,15,150,0.0
1,1,15,200,0.0
1,1,15,250,0.0
1,1,15,300,0.0
1,1,15,350,0.0
1,1,15,400,0.0
1,1,15,450,0.0
1,1,15,500,0.0
1,1,15,550,0.0
1,1,15,600,0.0
1,1,15,650,0.0
1,1,15,700,0.0
1,1,15,750,0.0
1,1,15,800,0.0
1,1,15,850,0.0
1,1,15,900,0.0
1,1,15,950,0.0
1,1,15,1000,0.0
1,1,16,8,0.0
1,1,16,16,0.0
1,1,16,24,0.0
1,1,16,32,0.0
1,1,16,40,0.0
1,1,16,48,0.0
1,1,16,56,0.0
1,1,16,64,0.0
1,1,16,72,0.0
1,1,16,80,0.0
1,1,16,88,0.0
1,1,16,96,0.0
1,1,16,100,0.0
1,1,16,150,0.0
1,1,16,200,0.0
1,1,16,250,0.0
1,1,16,300,0.0
1,1,16,350,0.0
1,1,16,400,0.0
1,1,16,450,0.0
1,1,16,500,0.0
1,1,16,550,0.0
1,1,16,600,0.0
1,1,16,650,0.0
1,1,16,700,0.0
1,1,16,750,0.0
1,1,16,800,0.0
1,1,16,850,0.0
1,1,16,900,0.0
1,1,16,950,0.0
1,1,16,1000,0.0
1,1,17,8,0.0
1,1,17,16,0.0
1,1,17,24,0.0
1,1,17,32,0.0
1,1,17,40,0.0
1,1,17,48,0.0
1,1,17,56,0.0
1,1,17,64,0.0
1,1,17,72,0.0
1,1,17,80,0.0
1,1,17,88,0.0
1,1,17,96,0.0
1,1,17,100,0.0
1,1,17,150,0.0
1,1,17,200,0.0
1,1,17,250,0.0
1,1,17,300,0.0
1,1,17,350,0.0
1,1,17,400,0.0
1,1,17,450,0.0
1,1,17,500,0.0
1,1,17,550,0.0
1,1,17,600,0.0
1,1,17,650,0.0
1,1,17,700,0.0
1,1,17,750,0.0
1,1,17,800,0.0
1,1,17,850,0.0
1,1,17,900,0.0
1,1,17,950,0.0
1,1,17,1000,0.0
1,1,18,8,0.0
1,1,18,16,0.0
1,1,18,24,0.0
1,1,18,32,0.0
1,1,18,40,0.0
1,1,18,48,0.0
1,1,18,56,0.0
1,1,18,64,0.0
1,1,18,72,0.0
1,1,18,80,0.0
1,1,18,88,0.0
1,1,18,96,0.0
1,1,18,100,0.0
1,1,18,150,0.0
1,1,18,200,0.0
1,1,18,250,0.0
1,1,18,300,0.0
1,1,18,350,0.0
1,1,18,400,0.0
1,1,18,450,0.0
1,1,18,500,0.0
1,1,18,550,0.0
1,1,18,600,0.0
1,1,18,650,0.0
1,1,18,700,0.0
1,1,18,750,0.0
1,1,18,800,0.0
1,1,18,850,0.0
1,1,18,900,0.0
1,1,18,950,0.0
1,1,18,1000,0.0
1,1,19,8,0.0
1,1,19,16,0.0
1,1,19,24,0.0
1,1,19,32,0.0
1,1,19,40,0.0
1,1,19,48,0.0
1,1,19,56,0.0
1,1,19,64,0.0
1,1,19,72,0.0
1,1,19,80,0.0
1,1,19,88,0.0
1,1,19,96,0.0
1,1,19,100,0.0
1,1,19,150,0.0
1,1,19,200,0.0
1,1,19,250,0.0
1,1,19,300,0.0
1,1,19,350,0.0
1,1,19,400,0.0
1,1,19,450,0.0
1,1,19,500,0.0
1,1,19,550,0.0
